title_id,title,genre,length,subscribers,rating,views,likes,status,daily_pass
3453,The Druid of Seoul Station,ACTION,28,349592,9.6,8708967,778530,ONGOING,FALSE
3452,Fake Humans,THRILLER,27,123539,9.4,1395720,189250,ONGOING,FALSE
3451,Infinity,SPORTS,6,75448,9.64,681174,62176,ONGOING,FALSE
3441,66;666 Years: Advent of the Dark Mage,FANTASY,28,358902,9.76,7038115,894112,ONGOING,FALSE
3440,Chasing Tails,MYSTERY,27,205993,9.8,3902704,461269,ONGOING,FALSE
3416,Reunion,ROMANCE,5,470644,9.77,2809846,281235,ONGOING,FALSE
3414,Clinic of Horrors,SUPERNATURAL,66,695879,9.58,43591570,4254549,ONGOING,FALSE
3413,Savior,FANTASY,31,180864,9.39,2105218,247723,ONGOING,FALSE
3412,The Male Lead's Girl Friend,ROMANCE,31,265993,9.52,6411813,725374,ONGOING,FALSE
3387,Señorita Cometa,MYSTERY,4,127192,9.63,513685,59577,ONGOING,FALSE
3386,Eyes,FANTASY,31,32720,9.7,528218,77929,ONGOING,FALSE
3384,Protect the Knight,FANTASY,31,121230,9.66,1665934,259949,ONGOING,FALSE
3363,Archie Comics: Big Ethel Energy,DRAMA,30,369177,8.67,15200590,1344316,ONGOING,FALSE
3353,The Last Golden Child,ACTION,30,135703,9.63,1979258,260457,ONGOING,FALSE
3350,Zombie Ship,HORROR,7,87913,7.68,1050503,86703,COMPLETED,TRUE
3349,The Lazy Lord Masters the Sword,FANTASY,31,239173,9.79,6038281,687135,ONGOING,FALSE
3348,My Irresistible Ex,ROMANCE,31,234889,8.11,3872734,391061,ONGOING,FALSE
3347,Metro Hunter,ACTION,31,98309,9.67,1933584,233673,ONGOING,FALSE
3346,Good Luck; Hero! ,FANTASY,31,92911,9.5,1464843,186559,ONGOING,FALSE
3345,Date First; Love Later,ROMANCE,31,309858,9.61,7207021,726102,ONGOING,FALSE
3344,The Aftermath,DRAMA,31,63280,9.32,694018,104006,ONGOING,FALSE
3341,BlackSmith,SUPERNATURAL,24,63317,9.6,895502,135510,ONGOING,FALSE
3340,Hyperfocus,SLICE_OF_LIFE,36,159574,8.67,5665364,758087,ONGOING,FALSE
3337,Threads of Love,ROMANCE,31,199808,9.53,3248664,403456,ONGOING,FALSE
3336,The Monster's Bride,FANTASY,31,169023,9.64,2680817,384304,ONGOING,FALSE
3335,Daily JoJo,ROMANCE,31,137441,9.76,3383411,615162,ONGOING,FALSE
3312,Eros Conquers All,SUPERNATURAL,10,154593,9.73,897929,118078,ONGOING,FALSE
3311,Leveling Up My Husband to the Max,ROMANCE,27,609551,9.62,15226855,1758851,ONGOING,FALSE
3310,Taekwondo Kid,SPORTS,31,69252,9.43,1417165,161800,ONGOING,FALSE
3273,Meow Rangers,COMEDY,31,79944,9.32,794138,124784,ONGOING,FALSE
3267,CODE HELIX,DRAMA,32,40904,9.57,715302,114309,ONGOING,FALSE
3266,Dr. Hound,THRILLER,5,55431,9.05,979420,133084,ONGOING,TRUE
3265,The Warrior Returns,ACTION,28,304044,9.07,5153876,468960,ONGOING,FALSE
3264,Flawless,ROMANCE,32,277205,9.31,5917698,678311,ONGOING,FALSE
3263,Prince Maker,FANTASY,31,128255,9.65,2083342,311142,ONGOING,FALSE
3254,Money Game,THRILLER,34,70680,8.87,1471692,142296,ONGOING,FALSE
3253,Harmonia,SF,23,67122,9.44,620958,104946,ONGOING,FALSE
3247,Tales of Sarimin the Jinn,ACTION,35,82618,9.54,933048,128166,ONGOING,FALSE
3246,To Be Ordinary!,DRAMA,31,50551,9.25,953772,111980,ONGOING,FALSE
3237,Whale Star: The Gyeongseong Mermaid,DRAMA,15,183441,9.85,2949966,431222,COMPLETED,TRUE
3236,She Bites!,SLICE_OF_LIFE,31,56889,9.66,859923,148719,ONGOING,FALSE
3235,11 of Me,SUPERNATURAL,7,102230,8.82,1398080,194502,COMPLETED,TRUE
3212,The Legendary Fossil,DRAMA,3,124092,8.7,840492,104867,ONGOING,TRUE
3211,Once a Hero,FANTASY,36,221946,9.48,3624190,478886,ONGOING,FALSE
3210,The Spark in Your Eyes,FANTASY,37,225062,9.7,3899997,534307,ONGOING,FALSE
3209,The Double Agent,HISTORICAL,36,247487,8.92,4672804,513221,ONGOING,FALSE
3208,Heavenly Roommates,FANTASY,32,215183,9.51,3839703,526103,HIATUS,FALSE
3207,From Morning to Night,FANTASY,36,118099,9.28,1077454,151591,ONGOING,FALSE
3205,Traveler,SUPER_HERO,10,22624,7.63,111192,11587,ONGOING,FALSE
3201,Unwritten Death,ROMANCE,36,210157,9.65,5139467,552882,ONGOING,FALSE
3200,Maya's World,DRAMA,39,105181,9.21,1589123,212198,ONGOING,FALSE
3199,I Get Stronger the More I Eat,ACTION,37,280902,9.29,7860361,760679,ONGOING,FALSE
3198,God; Please Make Me a Demon! ,COMEDY,37,354361,9.44,7285724,982031,ONGOING,FALSE
3197,Doom Breaker,ACTION,36,606549,9.79,20094290,1675257,ONGOING,FALSE
3185,Spirit Hunter,SUPERNATURAL,37,123291,9.62,1812765,239278,ONGOING,FALSE
3182,Evelyne and the Occult,SUPERNATURAL,37,343595,9.33,8004293,977123,ONGOING,FALSE
3181,Lovely Hell,FANTASY,36,112553,9.36,2313742,286790,ONGOING,FALSE
3180,Batman: Wayne Family Adventures,SLICE_OF_LIFE,32,932073,9.75,31703326,2731686,ONGOING,FALSE
3179,The Fabled Warrior,FANTASY,36,166449,9.28,2337554,355061,ONGOING,FALSE
3178,TACIT,ACTION,34,221033,9.68,3310425,486764,ONGOING,FALSE
3176,Hell is Other People,THRILLER,12,134728,9.52,3087654,329429,COMPLETED,TRUE
3175,So You're Raising a Warrior,FANTASY,36,234850,9.56,5213524,784686,ONGOING,FALSE
3174,The Last Dimension,ACTION,6,79898,9.8,618933,66922,ONGOING,FALSE
3173,REAWAKENED MAN,ACTION,37,174219,9.49,3285332,376128,ONGOING,FALSE
3164,From a Knight to a Lady,FANTASY,36,422903,9.73,10245731,1346948,ONGOING,FALSE
